trait,gamma,gene,Start (MB),seed1,seed2,seed3,seed4,seed5
alka_phos,0.01,STAG1,136.057095,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,10.0,FNBP4,47.738973,2.8748187608229614e-08,2.3935496251681343e-08,2.8265621399015117e-08,2.3062677656504604e-08,2.041175806155593e-08
alka_phos,1.0,FUBP3,133.455067,2.486505867871358e-08,2.419595701574906e-08,2.4621956140613577e-08,2.386647968144473e-08,2.3742533050707948e-08
alka_phos,0.01,RIN3,92.980276,1.6242340805661115e-11,1.6256440638073855e-11,1.5965229138714676e-11,1.61446411794941e-11,1.63149493914716e-11
alka_phos,10.0,HSPA4L,128.703705,7.392400068861882e-06,7.240499812155576e-06,6.9397155664230326e-06,8.058300351887482e-06,7.409253037549135e-06
alka_phos,0.001,PIGN,59.713088,5.213572869422478e-06,5.218617771474143e-06,5.213788174640577e-06,5.21450451151928e-06,5.213826075545214e-06
alka_phos,0.01,MCFD2,47.132601,3.490221112123493e-08,3.5005793597164825e-08,3.4905362933379536e-08,3.503333523280361e-08,3.498179546035374e-08
alka_phos,0.001,TRIM41,180.650999,8.317286392944823e-07,8.306666320345713e-07,8.263387942797351e-07,8.312729999904178e-07,8.105732318686165e-07
alka_phos,10.0,PKP3,0.394292,2.219662491476093e-06,2.521540818256618e-06,2.2336771383635323e-06,2.05580763512625e-06,2.7526446639836166e-06
alka_phos,1.0,MARVELD3,71.660132,1.1886377326852937e-08,1.3333822934669115e-08,1.3691085820610738e-08,1.336823873820947e-08,1.2323872922159751e-08
alka_phos,10.0,LPL,19.796951,1.1038636671401036e-10,1.1155376622440372e-10,1.1135103950010716e-10,1.0966094698972029e-10,1.1010348188733587e-10
alka_phos,1.0,RGS6,72.431508,1.83748114501725e-08,1.8364651688251854e-08,1.835572516206696e-08,1.8379411659275036e-08,1.83550642463004e-08
alka_phos,0.1,TLK1,171.850289,3.455429047338754e-07,3.4732368492385035e-07,3.4559867390093757e-07,3.487661927037422e-07,3.500262806266363e-07
alka_phos,0.1,DCLK2,151.000179,2.496999684797885e-07,2.507331493539766e-07,2.4664956643771774e-07,2.5156654137603596e-07,2.508367035192194e-07
alka_phos,0.1,RAB36,23.487552,2.487900919834196e-06,2.7370921890090827e-06,2.3158132085310257e-06,2.7347303198643758e-06,2.6819380017917283e-06
alka_phos,0.001,PPRC1,103.892825,3.665656667095618e-11,3.696531969410444e-11,3.64163144084273e-11,3.514410984450933e-11,3.6723735163946e-11
alka_phos,10.0,RREB1,7.182144,4.591080604576803e-08,4.6251527940910364e-08,4.6040587453610726e-08,4.6295168365517725e-08,4.5944175131040765e-08
alka_phos,0.1,GDF15,18.496999,3.4173489671385227e-07,3.42356362703633e-07,3.3748480943174286e-07,3.217789310561159e-07,3.476328218621205e-07
alka_phos,1.0,ZC3H7A,11.845172,4.91135160984868e-06,5.179220322060196e-06,5.113152567792767e-06,4.85480118750381e-06,5.165579217369931e-06
alka_phos,0.001,METAP1,99.916904,1.1430037620829836e-06,1.1035339344545037e-06,1.111101475270715e-06,1.145235712596282e-06,1.1299394566677279e-06
alka_phos,10.0,CNNM2,104.678237,1.7208456881689926e-13,1.6930901125533637e-13,1.7186252421197423e-13,1.6631140908884845e-13,1.687538997430238e-13
alka_phos,1.0,ABCF2,150.905156,4.720960877779845e-07,5.145666845951524e-07,5.188625795682356e-07,5.258540481944962e-07,5.410852458309634e-07
alka_phos,0.001,TNKS,9.413449,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.001,GINS1,25.388456,1e-14,1e-14,1e-14,1e-14,1e-14
alka_phos,0.001,KIAA1432,5.629309,1e-14,1e-14,1e-14,1e-14,1e-14
